Iteration:254 Cost:259.75672124845374 Improvement:0.06891034096321391
Iteration:255 Cost:259.72679094569395 Improvement:0.08199156395244245
Iteration:256 Cost:259.7145812963267 Improvement:0.02993030275979436
Iteration:257 Cost:259.657125184203 Improvement:0.01220964936726432
Iteration:258 Cost:259.56644651690783 Improvement:0.057456112123702496
Iteration:259 Cost:259.40161115767023 Improvement:0.09067866729515117
Iteration:260 Cost:259.26076383881997 Improvement:0.16483535923759973
Iteration:261 Cost:259.2022687350136 Improvement:0.14084731885026258
Iteration:262 Cost:259.1321815396457 Improvement:0.05849510380636502
Iteration:263 Cost:259.0746847782779 Improvement:0.07008719536787567
Iteration:264 Cost:259.0108862818952 Improvement:0.05749676136781545
Iteration:265 Cost:258.9856622021237 Improvement:0.06379849638273072
Iteration:266 Cost:258.8596282585381 Improvement:0.025224079771476227
Iteration:267 Cost:258.77863594145583 Improvement:0.12603394358558262
Iteration:268 Cost:258.7605766294456 Improvement:0.08099231708229127
Iteration:269 Cost:258.71301068562866 Improvement:0.01805931201022304
Iteration:270 Cost:258.6023841445412 Improvement:0.047565943816948675
Iteration:271 Cost:258.5302096777476 Improvement:0.11062654108746983
Iteration:272 Cost:258.46266098693843 Improvement:0.07217446679356954
Iteration:273 Cost:258.40418927205945 Improvement:0.0675486908091898
Iteration:274 Cost:258.3144196980707 Improvement:0.0584717148789764
Iteration:275 Cost:258.1854141319228 Improvement:0.08976957398874674
Iteration:276 Cost:258.1139477828799 Improvement:0.12900556614789593
Iteration:277 Cost:258.05908807023167 Improvement:0.0714663490429075
Iteration:278 Cost:258.0046256471112 Improvement:0.054859712648237746
Iteration:279 Cost:258.01150678267646 Improvement:0.05446242312046934
Iteration:280 Cost:257.94798680496314 Improvement:-0.006881135565265595
Iteration:281 Cost:257.8360538718003 Improvement:0.06351997771332663
Iteration:282 Cost:257.7435564420345 Improvement:0.1119329331628478
Iteration:283 Cost:257.67299151500924 Improvement:0.09249742976578545
Iteration:284 Cost:257.5964661723556 Improvement:0.0705649270252593
Iteration:285 Cost:257.52982213442954 Improvement:0.0765253426536674
Iteration:286 Cost:257.4495113939283 Improvement:0.06664403792603935
Iteration:287 Cost:257.37994173481593 Improvement:0.08031074050126108
Iteration:288 Cost:257.31720555425164 Improvement:0.06956965911234647
Iteration:289 Cost:257.2950849669345 Improvement:0.06273618056428631
Iteration:290 Cost:257.27441057550965 Improvement:0.022120587317147056
Iteration:291 Cost:257.14677587121855 Improvement:0.020674391424847727
Iteration:292 Cost:257.1331115107127 Improvement:0.12763470429109702
Iteration:293 Cost:257.0811720426629 Improvement:0.013664360505856621
Iteration:294 Cost:257.12443035137073 Improvement:0.05193946804979532
Iteration:295 Cost:257.0385658998523 Improvement:-0.0432583087078342
Iteration:296 Cost:256.9649240293126 Improvement:0.08586445151843236
Iteration:297 Cost:256.8484360673744 Improvement:0.07364187053968863
Iteration:298 Cost:256.7467119211792 Improvement:0.11648796193821909
Iteration:299 Cost:256.69875811327785 Improvement:0.10172414619518122
Iteration:300 Cost:256.60691375897414 Improvement:0.04795380790136505
Iteration:301 Cost:256.589963947286 Improvement:0.09184435430370286
Iteration:302 Cost:256.5497539417093 Improvement:0.016949811688164118
Iteration:303 Cost:256.51785452970154 Improvement:0.040210005576682306
Iteration:304 Cost:256.4206057310622 Improvement:0.031899412007760475
Iteration:305 Cost:256.33907062711535 Improvement:0.09724879863932756
Iteration:306 Cost:256.34425367200663 Improvement:0.08153510394686236
Iteration:307 Cost:256.2997440989877 Improvement:-0.005183044891282407
Iteration:308 Cost:256.1689236654753 Improvement:0.044509573018956416
Iteration:309 Cost:256.06951063106607 Improvement:0.13082043351238326
Iteration:310 Cost:255.96200002037313 Improvement:0.09941303440922411
Iteration:311 Cost:255.92043620381375 Improvement:0.1075106106929411
Iteration:312 Cost:255.87462041808797 Improvement:0.0415638165593748
Iteration:313 Cost:255.81799541771935 Improvement:0.045815785725778824
Iteration:314 Cost:255.7866706251164 Improvement:0.05662500036862639
Iteration:315 Cost:255.74526139228215 Improvement:0.03132479260295895
Iteration:316 Cost:255.61242127265956 Improvement:0.041409232834240584
Iteration:317 Cost:255.6050919626825 Improvement:0.13284011962258546
Iteration:318 Cost:255.52099885452526 Improvement:0.0073293099770523895
Iteration:319 Cost:255.49435026480964 Improvement:0.0840931081572478
Iteration:320 Cost:255.45629926928598 Improvement:0.02664858971562012
Iteration:321 Cost:255.3637597284577 Improvement:0.03805099552366187
Iteration:322 Cost:255.346472626266 Improvement:0.09253954082828386
Iteration:323 Cost:255.24632470415312 Improvement:0.01728710219168761
Iteration:324 Cost:255.18990697732244 Improvement:0.10014792211288182
Iteration:325 Cost:255.10783955114388 Improvement:0.0564177268306878
Iteration:326 Cost:255.051913260867 Improvement:0.08206742617855411
Iteration:327 Cost:255.01939397479057 Improvement:0.05592629027688645
Iteration:328 Cost:254.90929120856055 Improvement:0.03251928607642185
Iteration:329 Cost:254.8782913108363 Improvement:0.11010276623002824
Iteration:330 Cost:254.7141771822563 Improvement:0.030999897724257153
Iteration:331 Cost:254.61070396240487 Improvement:0.16411412857999608
Iteration:332 Cost:254.4973710152554 Improvement:0.10347321985142344
Iteration:333 Cost:254.41316931670244 Improvement:0.11333294714947328
Iteration:334 Cost:254.28249241386982 Improvement:0.08420169855295967
Iteration:335 Cost:254.26040858036149 Improvement:0.13067690283261868
Iteration:336 Cost:254.18817937755477 Improvement:0.022083833508332873
Iteration:337 Cost:254.0236230556343 Improvement:0.07222920280671019
Iteration:338 Cost:253.98933168462446 Improvement:0.16455632192048597
Iteration:339 Cost:253.91946882957643 Improvement:0.03429137100982871
Iteration:340 Cost:253.79353771584132 Improvement:0.06986285504802936
Iteration:341 Cost:253.79781534583353 Improvement:0.12593111373510624
Iteration:342 Cost:253.7965537773817 Improvement:-0.004277629992202492
Iteration:343 Cost:253.72837113700288 Improvement:0.0012615684518380021
Iteration:344 Cost:253.59105944921694 Improvement:0.06818264037880795
Iteration:345 Cost:253.5522588543768 Improvement:0.13731168778593883
Iteration:346 Cost:253.4758873939558 Improvement:0.03880059484015419
Iteration:347 Cost:253.44853140084587 Improvement:0.07637146042100085
Iteration:348 Cost:253.3398434797094 Improvement:0.027355993109921428
Iteration:349 Cost:253.3534154515234 Improvement:0.10868792113646464
Iteration:350 Cost:253.30383566332998 Improvement:-0.013571971814002382
Iteration:351 Cost:253.24867033232425 Improvement:0.049579788193426566
Iteration:352 Cost:253.21217239137547 Improvement:0.05516533100572474
Iteration:353 Cost:253.1132386987377 Improvement:0.03649794094877734
Iteration:354 Cost:253.02791661893744 Improvement:0.09893369263778595
Iteration:355 Cost:252.98051542121436 Improvement:0.08532207980024964
Iteration:356 Cost:252.91312621853973 Improvement:0.04740119772307594
Iteration:357 Cost:252.82306544876906 Improvement:0.067389202674633
Iteration:358 Cost:252.6745046142725 Improvement:0.09006076977067323
Iteration:359 Cost:252.7090510372904 Improvement:0.1485608344965499
Iteration:360 Cost:252.62563131443162 Improvement:-0.03454642301790045
Iteration:361 Cost:252.55662596452387 Improvement:0.08341972285879251
Iteration:362 Cost:252.40897065296568 Improvement:0.06900534990774077
Iteration:363 Cost:252.32544428675635 Improvement:0.14765531155819644
Iteration:364 Cost:252.33707698447157 Improvement:0.08352636620932685
Iteration:365 Cost:252.19883735691852 Improvement:-0.011632697715214135
Iteration:366 Cost:252.07938848509428 Improvement:0.1382396275530482
Iteration:367 Cost:252.00580397985536 Improvement:0.11944887182423258
Iteration:368 Cost:251.97746298591744 Improvement:0.07358450523892657
Iteration:369 Cost:251.85334054055076 Improvement:0.028340993937916892
Iteration:370 Cost:251.89306570358428 Improvement:0.12412244536668027
Iteration:371 Cost:251.8049797134544 Improvement:-0.03972516303352336
Iteration:372 Cost:251.71066013728372 Improvement:0.08808599012988338
Iteration:373 Cost:251.65693683240806 Improvement:0.0943195761706761
Iteration:374 Cost:251.69921784784572 Improvement:0.05372330487566046
Iteration:375 Cost:251.60064635909924 Improvement:-0.04228101543765206
Iteration:376 Cost:251.52346679789252 Improvement:0.09857148874647237
Iteration:377 Cost:251.3978947015625 Improvement:0.07717956120671943
Iteration:378 Cost:251.39762517254866 Improvement:0.12557209633001776
Iteration:379 Cost:251.35539189645095 Improvement:0.0002695290138490236
Iteration:380 Cost:251.259058590226 Improvement:0.04223327609770422
Iteration:381 Cost:251.22429789983454 Improvement:0.09633330622494896
Iteration:382 Cost:251.15318414192194 Improvement:0.03476069039146523
Iteration:383 Cost:251.16578137428363 Improvement:0.07111375791259889
Iteration:384 Cost:251.07164331906023 Improvement:-0.012597232361684974
Iteration:385 Cost:251.0564889230355 Improvement:0.09413805522339658
Iteration:386 Cost:250.95564490631912 Improvement:0.01515439602474089
Iteration:387 Cost:250.85364034396994 Improvement:0.10084401671636556
Iteration:388 Cost:250.7736577116834 Improvement:0.10200456234917965
Iteration:389 Cost:250.70968727318487 Improvement:0.07998263228654423
Iteration:390 Cost:250.69491959203015 Improvement:0.06397043849852935
Iteration:391 Cost:250.66169283391687 Improvement:0.014767681154722823
Iteration:392 Cost:250.61943789965622 Improvement:0.03322675811327258
Iteration:393 Cost:250.53212301550437 Improvement:0.04225493426065441
Iteration:394 Cost:250.47495181109983 Improvement:0.0873148841518514
Iteration:395 Cost:250.38268584505136 Improvement:0.05717120440453982
Iteration:396 Cost:250.2104932895858 Improvement:0.09226596604847259
Iteration:397 Cost:250.08453784092626 Improvement:0.172192555465557
Iteration:398 Cost:249.99840262424257 Improvement:0.12595544865953912
