Itr:95 Energy:-0.06425048260691985 Cost:407.32343898876286 energy_imp:1.1617479497044725e-05 cost_imp:0.7840483247582029
Itr:96 Energy:-0.06426193712070544 Cost:406.5487892262518 energy_imp:1.145451378559148e-05 cost_imp:0.7746497625110464
Itr:97 Energy:-0.06427323239179493 Cost:405.7833750031143 energy_imp:1.1295271089492576e-05 cost_imp:0.7654142231374976
Itr:98 Energy:-0.06428437205094996 Cost:405.02703672864817 energy_imp:1.1139659155029458e-05 cost_imp:0.7563382744661453
Itr:99 Energy:-0.06429535963915073 Cost:404.2796181587068 energy_imp:1.0987588200769838e-05 cost_imp:0.7474185699413738
Itr:100 Energy:-0.0643061986099969 Cost:403.5409663125503 energy_imp:1.0838970846166474e-05 cost_imp:0.738651846156472
Itr:101 Energy:-0.06431689233203693 Cost:402.8109313920881 energy_imp:1.069372204003105e-05 cost_imp:0.7300349204622307
Itr:102 Energy:-0.06432744409103075 Cost:402.08936670343377 energy_imp:1.0551758993823657e-05 cost_imp:0.7215646886543254
Itr:103 Energy:-0.06433785709214541 Cost:401.37612858069537 energy_imp:1.04130011146647e-05 cost_imp:0.713238122738403
Itr:104 Energy:-0.06434813446208823 Cost:400.6710763119296 energy_imp:1.0277369942815473e-05 cost_imp:0.705052268765769
Itr:105 Energy:-0.06435827925117765 Cost:399.9740720671931 energy_imp:1.0144789089422401e-05 cost_imp:0.6970042447364904
Itr:106 Energy:-0.06436829443535448 Cost:399.28498082862023 energy_imp:1.0015184176828673e-05 cost_imp:0.6890912385728711
Itr:107 Energy:-0.06437818291813571 Cost:398.6036703224617 energy_imp:9.888482781231223e-06 cost_imp:0.6813105061585247
Itr:108 Energy:-0.06438794753251202 Cost:397.93001095302907 energy_imp:9.764614376309155e-06 cost_imp:0.6736593694326416
Itr:109 Energy:-0.06439759104279102 Cost:397.26387573847376 energy_imp:9.643510279003231e-06 cost_imp:0.666135214555311
Itr:110 Energy:-0.06440711614638882 Cost:396.605140248351 energy_imp:9.52510359779335e-06 cost_imp:0.6587354901227513
Itr:111 Energy:-0.06441652547556935 Cost:395.95368254291077 energy_imp:9.409329180531945e-06 cost_imp:0.6514577054402366
Itr:112 Energy:-0.06442582159913575 Cost:395.3093831140578 energy_imp:9.296123566399084e-06 cost_imp:0.6442994288529462
Itr:113 Energy:-0.06443500702407329 Cost:394.67212482793445 energy_imp:9.185424937538378e-06 cost_imp:0.6372582861233695
Itr:114 Energy:-0.06444408419714612 Cost:394.0417928690711 energy_imp:9.07717307283007e-06 cost_imp:0.6303319588633371
Itr:115 Energy:-0.06445305550644959 Cost:393.41827468605794 energy_imp:8.971309303468233e-06 cost_imp:0.6235181830131751
Itr:116 Energy:-0.06446192328291844 Cost:392.8014599386907 energy_imp:8.86777646885717e-06 cost_imp:0.6168147473672434
Itr:117 Energy:-0.06447068980179353 Cost:392.1912404465452 energy_imp:8.766518875089058e-06 cost_imp:0.610219492145518
Itr:118 Energy:-0.06447935728404733 Cost:391.587510138936 energy_imp:8.667482253796321e-06 cost_imp:0.6037303076091689
Itr:119 Energy:-0.06448792789776994 Cost:390.99016500621866 energy_imp:8.570613722613807e-06 cost_imp:0.5973451327173507
Itr:120 Energy:-0.06449640375951696 Cost:390.39910305239135 energy_imp:8.475861747014868e-06 cost_imp:0.5910619538273068
Itr:121 Energy:-0.06450478693561953 Cost:389.8142242489615 energy_imp:8.38317610257766e-06 cost_imp:0.5848788034298309
Itr:122 Energy:-0.06451307944345903 Cost:389.23543049003644 energy_imp:8.292507839499641e-06 cost_imp:0.5787937589250873
Itr:123 Energy:-0.06452128325270626 Cost:388.6626255485962 energy_imp:8.203809247223082e-06 cost_imp:0.5728049414402108
Itr:124 Energy:-0.06452940028652675 Cost:388.09571503392743 energy_imp:8.117033820490005e-06 cost_imp:0.5669105146687912
Itr:125 Energy:-0.06453743242275335 Cost:387.53460635016546 energy_imp:8.03213622660448e-06 cost_imp:0.5611086837619723
Itr:126 Energy:-0.06454538149502657 Cost:386.9792086559229 energy_imp:7.94907227322228e-06 cost_imp:0.555397694242572
Itr:127 Energy:-0.06455324929390417 Cost:386.4294328249766 energy_imp:7.867798877597698e-06 cost_imp:0.5497758309463165
Itr:128 Energy:-0.0645610375679404 Cost:385.88519140796546 energy_imp:7.788274036232834e-06 cost_imp:0.5442414170111078
Itr:129 Energy:-0.06456874802473625 Cost:385.3463985950852 energy_imp:7.710456795845255e-06 cost_imp:0.5387928128802741
