Iteration:285 Cost:565.9863187813467 Improvement:0.13150077610828248
Iteration:286 Cost:565.811362717823 Improvement:0.0007236535991523851
Iteration:287 Cost:565.7790740753619 Improvement:0.17495606352360937
Iteration:288 Cost:565.9461725596361 Improvement:0.032288642461139716
Iteration:289 Cost:565.77169601295 Improvement:-0.16709848427422003
Iteration:290 Cost:565.6327139909947 Improvement:0.17447654668615087
Iteration:291 Cost:565.8433393018024 Improvement:0.13898202195525755
Iteration:292 Cost:565.5910920834325 Improvement:-0.21062531080769986
Iteration:293 Cost:565.4996109930728 Improvement:0.2522472183699165
Iteration:294 Cost:565.4548691490469 Improvement:0.0914810903597072
Iteration:295 Cost:565.5487087287996 Improvement:0.044741844025907085
Iteration:296 Cost:565.3560612996212 Improvement:-0.09383957975273916
Iteration:297 Cost:565.3671004716516 Improvement:0.19264742917846434
Iteration:298 Cost:565.2660398019078 Improvement:-0.011039172030450572
Iteration:299 Cost:565.2244540878199 Improvement:0.10106066974378791
Iteration:300 Cost:565.181401879331 Improvement:0.04158571408788703
Iteration:301 Cost:565.2361956489551 Improvement:0.04305220848891622
Iteration:302 Cost:565.099445503398 Improvement:-0.05479376962409788
Iteration:303 Cost:565.1418250164376 Improvement:0.13675014555713005
Iteration:304 Cost:565.0079381336344 Improvement:-0.04237951303957743
Iteration:305 Cost:564.9838389676382 Improvement:0.13388688280315364
Iteration:306 Cost:565.1803192437454 Improvement:0.024099165996176453
Iteration:307 Cost:564.9629990877501 Improvement:-0.1964802761071951
Iteration:308 Cost:564.9191643704685 Improvement:0.2173201559953668
Iteration:309 Cost:564.9000857548602 Improvement:0.043834717281583835
Iteration:310 Cost:564.8152588674022 Improvement:0.01907861560823676
Iteration:311 Cost:564.8536421173799 Improvement:0.08482688745800715
Iteration:312 Cost:564.6949505939782 Improvement:-0.038383249977641754
Iteration:313 Cost:564.6507022621024 Improvement:0.15869152340167147
Iteration:314 Cost:564.6683253277714 Improvement:0.044248331875792246
Iteration:315 Cost:564.5754877856593 Improvement:-0.017623065668999516
Iteration:316 Cost:564.526264203115 Improvement:0.09283754211207906
Iteration:317 Cost:564.4854755886155 Improvement:0.04922358254430037
Iteration:318 Cost:564.673965635035 Improvement:0.04078861449954729
Iteration:319 Cost:564.4769779085503 Improvement:-0.1884900464194743
Iteration:320 Cost:564.3768960141515 Improvement:0.19698772648462182
Iteration:321 Cost:564.5518718349823 Improvement:0.10008189439884063
Iteration:322 Cost:564.3199951599549 Improvement:-0.17497582083080943
Iteration:323 Cost:564.290092986534 Improvement:0.2318766750273653
Iteration:324 Cost:564.2242675824696 Improvement:0.029902173420964573
Iteration:325 Cost:564.2682947102815 Improvement:0.0658254040644124
Iteration:326 Cost:564.1681447348432 Improvement:-0.04402712781188711
Iteration:327 Cost:564.113478857951 Improvement:0.10014997543828486
Iteration:328 Cost:564.1256730045401 Improvement:0.05466587689215885
Iteration:329 Cost:564.1915820647029 Improvement:-0.012194146589081356
Iteration:330 Cost:564.0171902592788 Improvement:-0.06590906016276676
Iteration:331 Cost:564.1416446541161 Improvement:0.1743918054240794
Iteration:332 Cost:563.9473129987477 Improvement:-0.12445439483735754
Iteration:333 Cost:564.1346200057247 Improvement:0.19433165536838715
Iteration:334 Cost:563.9325799317018 Improvement:-0.18730700697699376
Iteration:335 Cost:563.900216310375 Improvement:0.20204007402298885
Iteration:336 Cost:563.8467400783729 Improvement:0.0323636213267946
Iteration:337 Cost:563.8575232354664 Improvement:0.053476232002026336
Iteration:338 Cost:563.7565634949065 Improvement:-0.010783157093442242
Iteration:339 Cost:563.7114669014833 Improvement:0.10095974055991519
Iteration:340 Cost:563.6671892496765 Improvement:0.04509659342318173
Iteration:341 Cost:563.6323464322437 Improvement:0.044277651806737595
Iteration:342 Cost:563.6574113127787 Improvement:0.03484281743283191
Iteration:343 Cost:563.6052395133925 Improvement:-0.02506488053495559
Iteration:344 Cost:563.6817800018101 Improvement:0.0521717993862012
Iteration:345 Cost:563.5036356941766 Improvement:-0.07654048841766325
Iteration:346 Cost:563.642724621918 Improvement:0.1781443076334881
Iteration:347 Cost:563.5580161104699 Improvement:-0.13908892774134074
Iteration:348 Cost:563.3961502597525 Improvement:0.08470851144807057
Iteration:349 Cost:563.3651065009198 Improvement:0.16186585071739046
Iteration:350 Cost:563.505662941719 Improvement:0.03104375883276589
Iteration:351 Cost:563.3516025407146 Improvement:-0.14055644079928697
Iteration:352 Cost:563.3908720437531 Improvement:0.15406040100447171
Iteration:353 Cost:563.46999908874 Improvement:-0.03926950303855392
Iteration:354 Cost:563.2068134332019 Improvement:-0.07912704498687617
Iteration:355 Cost:563.2027939599452 Improvement:0.26318565553810913
Iteration:356 Cost:563.1513700132291 Improvement:0.004019473256676065
Iteration:357 Cost:563.1217842602379 Improvement:0.05142394671611328
Iteration:358 Cost:563.2429639769516 Improvement:0.029585752991238223
Iteration:359 Cost:563.1121294096769 Improvement:-0.12117971671375471
Iteration:360 Cost:563.0904196974699 Improvement:0.1308345672747464
Iteration:361 Cost:563.007500006369 Improvement:0.021709712206984477
Iteration:362 Cost:563.0494549243117 Improvement:0.08291969110086939
Iteration:363 Cost:563.0803550899567 Improvement:-0.04195491794268946
Iteration:364 Cost:562.9157970610283 Improvement:-0.03090016564499365
Iteration:365 Cost:562.8848711019863 Improvement:0.16455802892835436
Iteration:366 Cost:562.8800115862288 Improvement:0.030925959042065188
Iteration:367 Cost:562.8224901806607 Improvement:0.004859515757516419
Iteration:368 Cost:562.7882329125426 Improvement:0.05752140556808172
Iteration:369 Cost:562.7755914526329 Improvement:0.034257268118039974
Iteration:370 Cost:562.7286238220657 Improvement:0.012641459909787045
Iteration:371 Cost:562.7007133996295 Improvement:0.046967630567110064
Iteration:372 Cost:562.6702534254683 Improvement:0.027910422436207227
Iteration:373 Cost:562.7337719218071 Improvement:0.030459974161203718
Iteration:374 Cost:562.6807309060408 Improvement:-0.06351849633881557
Iteration:375 Cost:562.6263461062747 Improvement:0.05304101576632547
Iteration:376 Cost:562.5567766544018 Improvement:0.05438479976612598
Iteration:377 Cost:562.5277499993113 Improvement:0.0695694518728942
Iteration:378 Cost:562.5389716984045 Improvement:0.029026655090547138
Iteration:379 Cost:562.5651244154863 Improvement:-0.011221699093198367
Iteration:380 Cost:562.5220058029283 Improvement:-0.026152717081799892
Iteration:381 Cost:562.5619438437861 Improvement:0.04311861255791882
Iteration:382 Cost:562.4006217350304 Improvement:-0.03993804085780539
Iteration:383 Cost:562.4781327571488 Improvement:0.16132210875571218
Iteration:384 Cost:562.3687332598719 Improvement:-0.07751102211841499
Iteration:385 Cost:562.3899541119978 Improvement:0.10939949727696785
Iteration:386 Cost:562.287597714221 Improvement:-0.021220852125907186
Iteration:387 Cost:562.3368581109188 Improvement:0.10235639777681627
Iteration:388 Cost:562.2314686926502 Improvement:-0.04926039669783222
Iteration:389 Cost:562.2052216270945 Improvement:0.10538941826860082
Iteration:390 Cost:562.3167189126684 Improvement:0.026247065555708105
Iteration:391 Cost:562.1656684334027 Improvement:-0.11149728557393246
Iteration:392 Cost:562.2051085451445 Improvement:0.1510504792656775
Iteration:393 Cost:562.1297095957829 Improvement:-0.03944011174178286
Iteration:394 Cost:562.1672277296082 Improvement:0.07539894936167002
Iteration:395 Cost:562.0546736423245 Improvement:-0.03751813382530145
Iteration:396 Cost:562.1064206987818 Improvement:0.11255408728368366
Iteration:397 Cost:562.0274387894281 Improvement:-0.05174705645731592
Iteration:398 Cost:561.9823827406279 Improvement:0.07898190935372895
Iteration:399 Cost:562.0796082418588 Improvement:0.04505604880012015
Iteration:400 Cost:561.9251679536853 Improvement:-0.09722550123080964
Iteration:401 Cost:561.8982610680501 Improvement:0.1544402881734186
Iteration:402 Cost:561.9688486507573 Improvement:0.026906885635185063
Iteration:403 Cost:561.8620331699303 Improvement:-0.07058758270716226
Iteration:404 Cost:561.9764084367035 Improvement:0.106815480826981
Iteration:405 Cost:561.9410879120107 Improvement:-0.11437526677320875
Iteration:406 Cost:561.7754685656646 Improvement:0.03532052469279279
Iteration:407 Cost:561.7573078180895 Improvement:0.16561934634614772
Iteration:408 Cost:561.7878678994485 Improvement:0.018160747575052483
Iteration:409 Cost:561.7633272798377 Improvement:-0.030560081358999014
Iteration:410 Cost:561.8359104241943 Improvement:0.024540619610888825
Iteration:411 Cost:561.8589594435914 Improvement:-0.0725831443565994
Iteration:412 Cost:561.6851782090966 Improvement:-0.023049019397149095
Iteration:413 Cost:561.7443215976037 Improvement:0.17378123449475424
Iteration:414 Cost:561.5799682659972 Improvement:-0.05914338850709555
Iteration:415 Cost:561.6616482792637 Improvement:0.16435333160654864
Iteration:416 Cost:561.5903509765923 Improvement:-0.0816800132664639
Iteration:417 Cost:561.565191471209 Improvement:0.07129730267138257
Iteration:418 Cost:561.4867017816966 Improvement:0.025159505383271608
Iteration:419 Cost:561.4657245848515 Improvement:0.07848968951236657
Iteration:420 Cost:561.4719262144205 Improvement:0.02097719684513777
Iteration:421 Cost:561.4142212671275 Improvement:-0.006201629568977296
Iteration:422 Cost:561.4058552889934 Improvement:0.05770494729301845
