Itr:127 Energy:0.12276906396487565 Cost:413.10116089787135 energy_imp:0.00015035546103875363 cost_imp:0.8370401451923044
Itr:128 Energy:0.12261905555540678 Cost:412.2689526121497 energy_imp:0.00015000840946886862 cost_imp:0.8322082857216628
Itr:129 Energy:0.12246939285719187 Cost:411.4415485849269 energy_imp:0.0001496626982149113 cost_imp:0.8274040272227694
Itr:130 Energy:0.12232007453666913 Cost:410.6189213940113 energy_imp:0.00014931832052274274 cost_imp:0.8226271909156253
Itr:131 Energy:0.12217109926698966 Cost:409.8010437946566 energy_imp:0.00014897526967946884 cost_imp:0.8178775993546878
Itr:132 Energy:0.12202246572797486 Cost:408.9878887182435 energy_imp:0.00014863353901480025 cost_imp:0.8131550764131248
Itr:133 Energy:0.12187417260607551 Cost:408.1794292709675 energy_imp:0.00014829312189934551 cost_imp:0.8084594472759932
Itr:134 Energy:0.12172621859433058 Cost:407.37563873254084 energy_imp:0.00014795401174493017 cost_imp:0.8037905384266537
Itr:135 Energy:0.12157860239232628 Cost:406.576490554905 energy_imp:0.00014761620200430536 cost_imp:0.7991481776358569
Itr:136 Energy:0.1214313227061558 Cost:405.78195836095455 energy_imp:0.0001472796861704817 cost_imp:0.7945321939504311
Itr:137 Energy:0.12128437824837879 Cost:404.9920159432696 energy_imp:0.00014694445777700682 cost_imp:0.7899424176849266
Itr:138 Energy:0.12113776773798197 Cost:404.20663726286267 energy_imp:0.0001466105103968135 cost_imp:0.78537868040695
Itr:139 Energy:0.12099148990033862 Cost:403.4257964479301 energy_imp:0.00014627783764335767 cost_imp:0.7808408149325601
Itr:140 Energy:0.12084554346717039 Cost:402.6494677926221 energy_imp:0.00014594643316823142 cost_imp:0.7763286553080206
Itr:141 Energy:0.12069992717650702 Cost:401.87762575581587 energy_imp:0.00014561629066336956 cost_imp:0.7718420368062198
Itr:142 Energy:0.12055463977264866 Cost:401.1102449599042 energy_imp:0.00014528740385835737 cost_imp:0.767380795911663
Itr:143 Energy:0.1204096800061267 Cost:400.34730018958896 energy_imp:0.00014495976652195708 cost_imp:0.7629447703152437
Itr:144 Energy:0.12026504663366601 Cost:399.58876639069103 energy_imp:0.0001446333724606924 cost_imp:0.758533798897929
Itr:145 Energy:0.12012073841814659 Cost:398.8346186689655 energy_imp:0.00014430821551941753 cost_imp:0.7541477217255306
Itr:146 Energy:0.1199767541285663 Cost:398.08483228892806 energy_imp:0.00014398428958029008 cost_imp:0.7497863800374489
Itr:147 Energy:0.11983309254000332 Cost:397.33938267269167 energy_imp:0.0001436615885629794 cost_imp:0.7454496162363853
Itr:148 Energy:0.11968975243357909 Cost:396.5982453988117 energy_imp:0.00014334010642423622 cost_imp:0.7411372738799855
Itr:149 Energy:0.1195467325964215 Cost:395.86139620114443 energy_imp:0.00014301983715758748 cost_imp:0.7368491976672544
Itr:150 Energy:0.11940403182162806 Cost:395.1288109677088 energy_imp:0.00014270077479343335 cost_imp:0.7325852334356568
Itr:151 Energy:0.11926164890823013 Cost:394.40046573956255 energy_imp:0.00014238291339793707 cost_imp:0.7283452281462246
Itr:152 Energy:0.1191195826611564 Cost:393.6763367096886 energy_imp:0.00014206624707373272 cost_imp:0.72412902987395
Itr:153 Energy:0.11897783189119737 Cost:392.95640022188377 energy_imp:0.00014175076995902314 cost_imp:0.71993648780483
Itr:154 Energy:0.11883639541496956 Cost:392.24063276966524 energy_imp:0.00014143647622781585 cost_imp:0.7157674522185289
Itr:155 Energy:0.11869527205488083 Cost:391.52901099517936 energy_imp:0.0001411233600887296 cost_imp:0.7116217744858773
Itr:156 Energy:0.1185544606390945 Cost:390.82151168812516 energy_imp:0.0001408114157863266 cost_imp:0.7074993070542064
Itr:157 Energy:0.11841396000149536 Cost:390.1181117846812 energy_imp:0.0001405006375991419 cost_imp:0.7033999034439375
Itr:158 Energy:0.11827376898165466 Cost:389.41878836644486 energy_imp:0.00014019101984069637 cost_imp:0.6993234182363608
Itr:159 Energy:0.11813388642479643 Cost:388.72351865938117 energy_imp:0.00013988255685823403 cost_imp:0.6952697070636873
Itr:160 Energy:0.11799431118176242 Cost:388.0322800327748 energy_imp:0.00013957524303401248 cost_imp:0.6912386266063777
Itr:161 Energy:0.11785504210897958 Cost:387.34504999819933 energy_imp:0.00013926907278283274 cost_imp:0.6872300345754638
Itr:162 Energy:0.11771607806842561 Cost:386.6618062084858 energy_imp:0.00013896404055396827 cost_imp:0.6832437897135151
Itr:163 Energy:0.11757741792759599 Cost:385.9825264567077 energy_imp:0.00013866014082962452 cost_imp:0.6792797517780969
Itr:164 Energy:0.11743906055947091 Cost:385.30718867516777 energy_imp:0.0001383573681250777 cost_imp:0.6753377815399517
Itr:165 Energy:0.11730100484248257 Cost:384.6357709343976 energy_imp:0.00013805571698834174 cost_imp:0.6714177407701527
Itr:166 Energy:0.11716324966048226 Cost:383.9682514421639 energy_imp:0.000137755182000307 cost_imp:0.6675194922337369
Itr:167 Energy:0.1170257939027082 Cost:383.30460854248315 energy_imp:0.00013745575777406038 cost_imp:0.663642899680724
Itr:168 Energy:0.11688863646375358 Cost:382.64482071464266 energy_imp:0.0001371574389546215 cost_imp:0.6597878278404892
Itr:169 Energy:0.11675177624353421 Cost:381.98886657223215 energy_imp:0.00013686022021937305 cost_imp:0.6559541424105078
Itr:170 Energy:0.11661521214725748 Cost:381.3367248621828 energy_imp:0.00013656409627672839 cost_imp:0.6521417100493636
Itr:171 Energy:0.11647894308539006 Cost:380.6883744638105 energy_imp:0.00013626906186742227 cost_imp:0.6483503983723153
Itr:172 Energy:0.11634296797362748 Cost:380.04379438787396 energy_imp:0.0001359751117625818 cost_imp:0.644580075936517
Itr:173 Energy:0.11620728573286271 Cost:379.40296377563277 energy_imp:0.00013568224076476731 cost_imp:0.6408306122411886
Itr:174 Energy:0.1160718952891553 Cost:378.7658618979191 energy_imp:0.00013539044370740327 cost_imp:0.6371018777136896
Itr:175 Energy:0.11593679557370108 Cost:378.13246815421314 energy_imp:0.00013509971545422328 cost_imp:0.6333937437059376
Itr:176 Energy:0.11580198552280171 Cost:377.50276207172743 energy_imp:0.00013481005089936715 cost_imp:0.6297060824857112
Itr:177 Energy:0.11566746407783418 Cost:376.87672330449976 energy_imp:0.0001345214449675336 cost_imp:0.6260387672276693
Itr:178 Energy:0.1155332301852215 Cost:376.2543316324911 energy_imp:0.0001342338926126757 cost_imp:0.6223916720086891
Itr:179 Energy:0.11539928279640238 Cost:375.635566960693 energy_imp:0.00013394738881912505 cost_imp:0.6187646717980897
Itr:180 Energy:0.11526562086780207 Cost:375.0204093182394 energy_imp:0.0001336619286003149 cost_imp:0.615157642453596
Itr:181 Energy:0.11513224336080302 Cost:374.4088388575299 energy_imp:0.00013337750699904394 cost_imp:0.6115704607095154
Itr:182 Energy:0.11499914924171555 Cost:373.80083585335495 energy_imp:0.00013309411908747626 cost_imp:0.6080030041749183
Itr:183 Energy:0.11486633748174906 Cost:373.1963807020338 energy_imp:0.00013281175996648908 cost_imp:0.6044551513211331
Itr:184 Energy:0.1147338070569836 Cost:372.595453920553 energy_imp:0.00013253042476545074 cost_imp:0.6009267814808368
Itr:185 Energy:0.11460155694834076 Cost:371.99803614571726 energy_imp:0.00013225010864284514 cost_imp:0.5974177748357192
Itr:186 Energy:0.11446958614155607 Cost:371.4041081333046 energy_imp:0.00013197080678468975 cost_imp:0.5939280124126753
Itr:187 Energy:0.11433789362715009 Cost:370.813650757228 energy_imp:0.00013169251440597884 cost_imp:0.5904573760765857
Itr:188 Energy:0.11420647840040142 Cost:370.2266450087046 energy_imp:0.00013141522674867123 cost_imp:0.5870057485233815
Itr:189 Energy:0.1140753394613182 Cost:369.64307199543344 energy_imp:0.00013113893908321683 cost_imp:0.5835730132711774
Itr:190 Energy:0.1139444758146108 Cost:369.0629129407741 energy_imp:0.0001308636467074048 cost_imp:0.5801590546593616
Itr:191 Energy:0.11381388646966488 Cost:368.48614918293794 energy_imp:0.00013058934494591945 cost_imp:0.5767637578361473
Itr:192 Energy:0.11368357044051358 Cost:367.91276217418334 energy_imp:0.0001303160291512978 cost_imp:0.5733870087545938
Itr:193 Energy:0.11355352674581097 Cost:367.34273348001636 energy_imp:0.00013004369470261123 cost_imp:0.5700286941669788
Itr:194 Energy:0.11342375440880531 Cost:366.77604477839935 energy_imp:0.0001297723370056597 cost_imp:0.5666887016170108
Itr:195 Energy:0.11329425245731217 Cost:366.2126778589654 energy_imp:0.00012950195149313837 cost_imp:0.5633669194339745
Itr:196 Energy:0.11316501992368817 Cost:365.6526146222383 energy_imp:0.0001292325336239991 cost_imp:0.5600632367271032
Itr:197 Energy:0.11303605584480483 Cost:365.09583707886077 energy_imp:0.0001289640788833396 cost_imp:0.5567775433775068
Itr:198 Energy:0.11290735926202251 Cost:364.5423273488257 energy_imp:0.00012869658278232 cost_imp:0.5535097300350458
Itr:199 Energy:0.11277892922116423 Cost:363.99206766071626 energy_imp:0.0001284300408582878 cost_imp:0.5502596881094632
Itr:200 Energy:0.11265076477249043 Cost:363.4450403509498 energy_imp:0.00012816444867379262 cost_imp:0.5470273097664631
Itr:201 Energy:0.11252286497067321 Cost:362.9012278630305 energy_imp:0.0001278998018172245 cost_imp:0.5438124879192969
Itr:202 Energy:0.1123952288747708 Cost:362.360612746804 energy_imp:0.00012763609590241143 cost_imp:0.5406151162264905
Itr:203 Energy:0.11226785554820277 Cost:361.823177657723 energy_imp:0.0001273733265680227 cost_imp:0.5374350890809865
Itr:204 Energy:0.11214074405872484 Cost:361.28890535611373 energy_imp:0.0001271114894779296 cost_imp:0.5342723016092918
Itr:205 Energy:0.11201389347840411 Cost:360.75777870644987 energy_imp:0.0001268505803207337 cost_imp:0.5311266496638609
Itr:206 Energy:0.11188730288359408 Cost:360.2297806766354 energy_imp:0.00012659059481003043 cost_imp:0.5279980298144551
Itr:207 Energy:0.11176097135491068 Cost:359.70489433728693 energy_imp:0.00012633152868339603 cost_imp:0.5248863393484839
Itr:208 Energy:0.11163489797720766 Cost:359.183102861027 energy_imp:0.00012607337770302596 cost_imp:0.5217914762599207
Itr:209 Energy:0.11150908183955235 Cost:358.6643895217816 energy_imp:0.00012581613765530464 cost_imp:0.518713339245437
